epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.10051732510328293,5.287468433380127,1e-04,0.3973343074321747,2.305065393447876
1,0.31870976090431213,3.500206708908081,1e-04,0.6498917937278748,1.191918134689331
2,0.4574231207370758,2.6546647548675537,1e-04,0.7653318643569946,0.7685251832008362
3,0.5457664132118225,2.1606006622314453,1e-04,0.8079004287719727,0.5952146649360657
4,0.6075705885887146,1.8514070510864258,1e-04,0.8407287001609802,0.4926852881908417
5,0.6508395075798035,1.6266621351242065,1e-04,0.8809523582458496,0.3568101227283478
6,0.6877294182777405,1.4376347064971924,1e-04,0.8986291289329529,0.29718899726867676
7,0.7167960405349731,1.2944515943527222,1e-04,0.915043294429779,0.24141967296600342
8,0.7380393743515015,1.187876582145691,1e-04,0.905663788318634,0.26872357726097107
9,0.7547692060470581,1.0955039262771606,1e-04,0.9141414165496826,0.2294137179851532
10,0.7725220918655396,1.0090283155441284,1e-04,0.9125180244445801,0.26288074254989624
11,0.7845579981803894,0.9639986753463745,1e-04,0.9343434572219849,0.17608420550823212
12,0.804477334022522,0.8743802905082703,1e-04,0.9437229633331299,0.16044515371322632
13,0.8111572265625,0.8224775195121765,1e-04,0.9453462958335876,0.14555427432060242
14,0.8217487931251526,0.8017611503601074,1e-04,0.9478715658187866,0.13340182602405548
15,0.8330023288726807,0.7390048503875732,1e-04,0.9442640542984009,0.15056152641773224
16,0.8399831652641296,0.7204388976097107,1e-04,0.9493145942687988,0.15018276870250702
17,0.8587591052055359,0.6316208839416504,4e-05,0.957431435585022,0.11129112541675568
18,0.8698320984840393,0.5703411102294922,4e-05,0.9702380895614624,0.08015121519565582
19,0.8784377574920654,0.5340642333030701,4e-05,0.9624819755554199,0.10245464742183685
20,0.8791598677635193,0.5238246917724609,4e-05,0.9680736064910889,0.08019088953733444
21,0.8901125192642212,0.47738170623779297,1.6e-05,0.9671717286109924,0.08116663992404938
22,0.8926400542259216,0.4651855230331421,1.6e-05,0.9686146974563599,0.08222176134586334
23,0.8998615741729736,0.4435800015926361,6.4e-06,0.9709596037864685,0.07817394286394119
24,0.8984774351119995,0.44341397285461426,6.4e-06,0.9715006947517395,0.07116348296403885
25,0.9034121632575989,0.4242918789386749,6.4e-06,0.9745671153068542,0.07097844779491425
26,0.8946259617805481,0.4581153392791748,6.4e-06,0.9715006947517395,0.07234553247690201
27,0.9014864563941956,0.4321793019771576,6.4e-06,0.9713203310966492,0.07053563743829727
28,0.9034121632575989,0.4282602369785309,6.4e-06,0.9752886295318604,0.06914333254098892
29,0.9070229530334473,0.41090238094329834,6.4e-06,0.9702380895614624,0.07745262235403061
30,0.90557861328125,0.40739375352859497,6.4e-06,0.9738456010818481,0.06778258085250854
31,0.9046157598495483,0.4109511077404022,6.4e-06,0.9749278426170349,0.06876898556947708
32,0.9088283181190491,0.4050772786140442,6.4e-06,0.9743867516517639,0.06866554915904999
33,0.906661868095398,0.4126248359680176,2.56e-06,0.9740259647369385,0.06872568279504776
34,0.9092495441436768,0.40638718008995056,2.56e-06,0.9736652374267578,0.07052677869796753
35,0.9073238372802734,0.41588664054870605,1.024e-06,0.9752886295318604,0.06782849878072739
