epoch,categorical_accuracy,loss,lr,precision,recall,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.07959391176700592,5.525638580322266,1e-04,0.7481481432914734,0.006835871376097202,0.2728625535964966,2.9135043621063232,0.9138576984405518,0.03300865739583969
1,0.27438241243362427,3.7861292362213135,1e-04,0.8106923699378967,0.06260575354099274,0.5845508575439453,1.529720664024353,0.8658394813537598,0.3020833432674408
2,0.43505921959877014,2.802974224090576,1e-04,0.8242127895355225,0.1824703961610794,0.7140151262283325,0.95802241563797,0.8775639533996582,0.5614177584648132
3,0.5316413044929504,2.2564775943756104,1e-04,0.8311618566513062,0.31519457697868347,0.7713744640350342,0.7538300156593323,0.8869296312332153,0.6600378751754761
4,0.6014212965965271,1.9068995714187622,1e-04,0.8480268716812134,0.41015228629112244,0.8287337422370911,0.5379857420921326,0.9090468287467957,0.7612283825874329
5,0.6584771871566772,1.6193366050720215,1e-04,0.8594886064529419,0.4959729313850403,0.829951286315918,0.5090777277946472,0.893481969833374,0.7807088494300842
6,0.6842639446258545,1.4619865417480469,1e-04,0.869480311870575,0.5424026846885681,0.8823052048683167,0.3318890929222107,0.9253444075584412,0.8451027870178223
7,0.7196615934371948,1.3088536262512207,1e-04,0.8762608766555786,0.5938409566879272,0.8947510719299316,0.29285988211631775,0.9250216484069824,0.866206705570221
8,0.7445685267448425,1.1832225322723389,1e-04,0.8824814558029175,0.6286970973014832,0.9119318127632141,0.2501603364944458,0.9411595463752747,0.885010838508606
9,0.7675126791000366,1.067775845527649,1e-04,0.8922978639602661,0.6633502244949341,0.9165313839912415,0.24824658036231995,0.9384965896606445,0.8917748928070068
10,0.7833502292633057,0.991544246673584,1e-04,0.8938091993331909,0.6898815631866455,0.9329004287719727,0.1905204802751541,0.950914204120636,0.9146374464035034
11,0.7851099967956543,0.9608259201049805,1e-04,0.8925842046737671,0.6957021951675415,0.9341179728507996,0.17104360461235046,0.9521611332893372,0.9208604097366333
12,0.8081218004226685,0.8532480597496033,1e-04,0.9019607901573181,0.7316412925720215,0.9329004287719727,0.17095673084259033,0.9481656551361084,0.9230248928070068
13,0.8179357051849365,0.8186927437782288,1e-04,0.908271312713623,0.7432149052619934,0.9307359457015991,0.18699292838573456,0.9470891952514648,0.9177489280700684
14,0.8414213061332703,0.712283730506897,4e-05,0.9196992516517639,0.7782741189002991,0.9556276798248291,0.11394364386796951,0.9633845090866089,0.9503517150878906
