epoch,categorical_accuracy,f1_score,loss,lr,precision,recall,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.13219459354877472,0.12075819075107574,4.968293190002441,1e-04,0.7281795740127563,0.016460904851555824,0.4336642622947693,0.4038378894329071,2.1143717765808105,0.7737226486206055,0.16741877794265747
1,0.3851964473724365,0.38237422704696655,3.0737667083740234,1e-04,0.794427216053009,0.14465302228927612,0.6581678986549377,0.6556851267814636,1.163333535194397,0.8281787037849426,0.4893953204154968
2,0.530074954032898,0.5325597524642944,2.249743938446045,1e-04,0.8257530927658081,0.3152376115322113,0.7653429508209229,0.7731364369392395,0.7291736602783203,0.8682480454444885,0.6854693293571472
3,0.6140143275260925,0.6183388233184814,1.8073831796646118,1e-04,0.8455028533935547,0.43931451439857483,0.7951263785362244,0.8023461103439331,0.6334074139595032,0.8676824569702148,0.7324007153511047
4,0.6738260388374329,0.6787768602371216,1.5276881456375122,1e-04,0.8595277667045593,0.525339663028717,0.8668772578239441,0.8691847920417786,0.39827972650527954,0.9143069982528687,0.8305505514144897
5,0.7105811834335327,0.7151997089385986,1.3165174722671509,1e-04,0.8672839403152466,0.5861096978187561,0.8867328763008118,0.8872584700584412,0.31772181391716003,0.9124700427055359,0.8585288524627686
6,0.7445741295814514,0.7491192817687988,1.1632658243179321,1e-04,0.8799937963485718,0.6370145082473755,0.9029783606529236,0.902126133441925,0.2632158696651459,0.9316401481628418,0.8856046795845032
7,0.7654884457588196,0.7697839140892029,1.0512298345565796,1e-04,0.8891289830207825,0.6726985573768616,0.9230595827102661,0.9243960380554199,0.21142889559268951,0.9420154094696045,0.9090703725814819
8,0.785275399684906,0.7897579073905945,0.9587510824203491,1e-04,0.8949193954467773,0.6980664134025574,0.9323104619979858,0.931893527507782,0.18858015537261963,0.9442903399467468,0.9217057824134827
9,0.8048931956291199,0.8084434270858765,0.8865616917610168,1e-04,0.9013323783874512,0.7245616912841797,0.9408844709396362,0.9419648051261902,0.16380614042282104,0.9531826376914978,0.9325361251831055
10,0.8178589344024658,0.8219735622406006,0.8097572326660156,1e-04,0.903942883014679,0.7495912909507751,0.9368231296539307,0.9389190673828125,0.17558687925338745,0.9520389437675476,0.9271209239959717
11,0.8302046060562134,0.8335707783699036,0.7619016170501709,1e-04,0.9087867140769958,0.7655448317527771,0.9469765424728394,0.9492466449737549,0.14061591029167175,0.9589956402778625,0.9393050670623779
12,0.8382659554481506,0.8415724039077759,0.7132772207260132,1e-04,0.911986231803894,0.7780596613883972,0.9539711475372314,0.9557377696037292,0.1310327649116516,0.9634146094322205,0.9447202086448669
13,0.8466655611991882,0.8507023453712463,0.6777212023735046,1e-04,0.917733907699585,0.7917582988739014,0.9550992846488953,0.9570794105529785,0.1310434192419052,0.9607306122779846,0.9494584798812866
14,0.8531484007835388,0.8560775518417358,0.6498326063156128,1e-04,0.9212404489517212,0.8004961013793945,0.9557761549949646,0.9575268626213074,0.12252377718687057,0.9631662964820862,0.9499097466468811
15,0.8620553612709045,0.86506187915802,0.6063829064369202,1e-04,0.9240222573280334,0.8138000965118408,0.9548736214637756,0.9550328254699707,0.11286653578281403,0.9618808627128601,0.9508122801780701
16,0.8724843859672546,0.8753671050071716,0.5721964836120605,1e-04,0.9302694201469421,0.8272732496261597,0.9523916840553284,0.9525746703147888,0.13077466189861298,0.9580100178718567,0.9472021460533142
17,0.8716951608657837,0.8744667768478394,0.5604760050773621,1e-04,0.9275398850440979,0.8291335701942444,0.9523916840553284,0.953624963760376,0.13929936289787292,0.956313967704773,0.9483303427696228
18,0.9027566313743591,0.9053105711936951,0.4240128993988037,4e-05,0.9462345838546753,0.8691020011901855,0.9763086438179016,0.9768074750900269,0.06134062260389328,0.9773806929588318,0.9749549031257629
19,0.9103106260299683,0.9124672412872314,0.3977237045764923,4e-05,0.9493362307548523,0.878854513168335,0.9810469150543213,0.9820600748062134,0.05312033370137215,0.9830124378204346,0.9792418479919434
20,0.9136366248130798,0.9157512784004211,0.38194429874420166,4e-05,0.9525919556617737,0.8846608996391296,0.9801443815231323,0.9811328053474426,0.05492182448506355,0.983008623123169,0.9790162444114685
21,0.9184846878051758,0.9209110140800476,0.36269766092300415,4e-05,0.9533357620239258,0.8925531506538391,0.9772111773490906,0.9782600402832031,0.06520368903875351,0.9789449572563171,0.9756317734718323
22,0.9275043606758118,0.9293272495269775,0.3270910084247589,1.6e-05,0.9593899250030518,0.9042786955833435,0.9842057824134827,0.9850541949272156,0.04329248145222664,0.9864130616188049,0.9828519821166992
23,0.9287445545196533,0.9311581254005432,0.3138207495212555,1.6e-05,0.9604421854019165,0.9060826301574707,0.9842057824134827,0.9848902821540833,0.04159141704440117,0.9857562780380249,0.9837545156478882
24,0.9344382286071777,0.936068058013916,0.2958388924598694,1.6e-05,0.9631149768829346,0.9126219153404236,0.9844313859939575,0.9853158593177795,0.04247322678565979,0.9864314794540405,0.9842057824134827
25,0.9369186758995056,0.9387561678886414,0.28532564640045166,1.6e-05,0.9636827111244202,0.9169626235961914,0.9853339195251465,0.9861710071563721,0.04245172068476677,0.9866576194763184,0.9844313859939575
26,0.9368059039115906,0.9386173486709595,0.28250476717948914,6.4e-06,0.9634189605712891,0.917526364326477,0.9862364530563354,0.9871218204498291,0.03805617615580559,0.9877966046333313,0.9862364530563354
27,0.9385534524917603,0.9397997856140137,0.2731028199195862,6.4e-06,0.963845431804657,0.9167371392250061,0.9869133830070496,0.9876464605331421,0.034448232501745224,0.9884719848632812,0.9866877198219299
28,0.9372568726539612,0.9392021894454956,0.2713322043418884,6.4e-06,0.9632192254066467,0.9182592034339905,0.9864621162414551,0.9871071577072144,0.037727680057287216,0.9873446226119995,0.985785186290741
29,0.9403573870658875,0.9421340227127075,0.25669488310813904,6.4e-06,0.9649391770362854,0.921585202217102,0.9866877198219299,0.9873557090759277,0.03829612210392952,0.9882485866546631,0.9866877198219299
30,0.93844074010849,0.940224826335907,0.2680427134037018,2.56e-06,0.9634261727333069,0.9206832647323608,0.9869133830070496,0.987560510635376,0.03639395907521248,0.9880226254463196,0.9864621162414551
31,0.9443035125732422,0.9460076689720154,0.25345125794410706,2.56e-06,0.9674092531204224,0.9253621697425842,0.9871389865875244,0.9877603054046631,0.03478429093956947,0.9884719848632812,0.9866877198219299
32,0.9419922232627869,0.9437577724456787,0.2516854703426361,1.024e-06,0.9669519066810608,0.9236710071563721,0.9880415201187134,0.9886105060577393,0.03433883190155029,0.9893761277198792,0.9875902533531189
33,0.9428378343582153,0.9445858597755432,0.25231751799583435,1.024e-06,0.9666097164154053,0.9253058433532715,0.9869133830070496,0.9875394701957703,0.03602844104170799,0.9882485866546631,0.9866877198219299
34,0.9412593841552734,0.9431982636451721,0.2592110335826874,1.024e-06,0.9648244380950928,0.9231072664260864,0.987364649772644,0.9879984855651855,0.035659004002809525,0.9884771704673767,0.9871389865875244
35,0.9379333853721619,0.9399803876876831,0.26101523637771606,4.0959998e-07,0.966544508934021,0.9218106865882874,0.9880415201187134,0.9886357188224792,0.035568565130233765,0.989823579788208,0.9875902533531189
36,0.9428941607475281,0.9449160099029541,0.2437281757593155,4.0959998e-07,0.9656571745872498,0.9257004261016846,0.987364649772644,0.9880229830741882,0.03639650344848633,0.9889215230941772,0.9869133830070496
37,0.9434579014778137,0.9449295997619629,0.2567479908466339,1.6383999e-07,0.9665175676345825,0.9259259104728699,0.9866877198219299,0.9873825311660767,0.03557877987623215,0.9880226254463196,0.9864621162414551
