epoch,categorical_accuracy,f1_score,loss,lr,precision,recall,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.17836405336856842,0.16737669706344604,4.607680320739746,1e-04,0.7207890748977661,0.026777157559990883,0.46525269746780396,0.44769546389579773,1.9067935943603516,0.7604987025260925,0.26150721311569214
1,0.4385252892971039,0.4371825158596039,2.7945518493652344,1e-04,0.8096309900283813,0.20282992720603943,0.734882652759552,0.7301058173179626,0.8981702327728271,0.8486115336418152,0.6412454843521118
2,0.5849258899688721,0.5879147052764893,2.009305477142334,1e-04,0.8409703373908997,0.3869440257549286,0.8271660804748535,0.8298092484474182,0.5453055500984192,0.8847046494483948,0.7739169597625732
3,0.6607475280761719,0.6656031608581543,1.5883800983428955,1e-04,0.8562321662902832,0.5073003172874451,0.7994133830070496,0.8003288507461548,0.628290057182312,0.8509724736213684,0.7601534128189087
4,0.7111449241638184,0.716315507888794,1.3390567302703857,1e-04,0.8737563490867615,0.5891538262367249,0.8524368405342102,0.8570953607559204,0.45244458317756653,0.8897541761398315,0.8249097466468811
5,0.7515643239021301,0.7562574744224548,1.1296659708023071,1e-04,0.8849475383758545,0.6469361186027527,0.8948556184768677,0.8966987133026123,0.3320544362068176,0.919914960861206,0.8786101341247559
6,0.7764248251914978,0.7808663845062256,1.0098236799240112,1e-04,0.8917062282562256,0.6879192590713501,0.9120036363601685,0.9108489751815796,0.273867666721344,0.9261760711669922,0.8973375558853149
7,0.7978465557098389,0.8016079068183899,0.9215610027313232,1e-04,0.9012179374694824,0.7174587249755859,0.9187725782394409,0.9200649261474609,0.22852738201618195,0.9375,0.9070397019386292
8,0.8114888072013855,0.8156294822692871,0.8557006120681763,1e-04,0.9043874144554138,0.7390495538711548,0.9298285245895386,0.9315685033798218,0.2011694461107254,0.9429561495780945,0.9212545156478882
9,0.8260330557823181,0.8299381732940674,0.7745763063430786,1e-04,0.909237802028656,0.7612605094909668,0.9462996125221252,0.9476734399795532,0.1578376144170761,0.9574223160743713,0.9386281371116638
10,0.8411409854888916,0.8453433513641357,0.7204676270484924,1e-04,0.917862594127655,0.782400369644165,0.9487816095352173,0.9510471820831299,0.17041097581386566,0.9562729001045227,0.9424638748168945
11,0.8493714332580566,0.8523771166801453,0.6766934990882874,1e-04,0.9171987175941467,0.7936749458312988,0.9440433382987976,0.9457459449768066,0.1789059042930603,0.9523590207099915,0.9336642622947693
12,0.8914820551872253,0.894025981426239,0.48177430033683777,4e-05,0.9409897327423096,0.8521900773048401,0.9654783606529236,0.9666293859481812,0.0980316624045372,0.9693251252174377,0.9625450968742371
13,0.9012345671653748,0.9042856693267822,0.4433339834213257,4e-05,0.9441203474998474,0.8667343258857727,0.9711191058158875,0.9724640846252441,0.08406193554401398,0.9765909314155579,0.9695397019386292
14,0.9087885618209839,0.9114529490470886,0.3952617347240448,4e-05,0.9482580423355103,0.8791927099227905,0.9668321013450623,0.9681652784347534,0.09795811772346497,0.9700408577919006,0.964350163936615
15,0.9140875935554504,0.9167844653129578,0.3888538181781769,4e-05,0.9484368562698364,0.8875923156738281,0.9767599105834961,0.9777646064758301,0.06177099421620369,0.9793650507926941,0.9745036363601685
16,0.9163424968719482,0.9186149835586548,0.3727491796016693,4e-05,0.9512327313423157,0.8917639255523682,0.9713447690010071,0.9728366732597351,0.0754493996500969,0.9730830192565918,0.9706678986549377
17,0.9209087491035461,0.9229847192764282,0.3389482796192169,4e-05,0.9540993571281433,0.8987541794776917,0.9749549031257629,0.9756016731262207,0.07822564989328384,0.97889244556427,0.973149836063385
18,0.9338181614875793,0.9357205033302307,0.2918705344200134,1.6e-05,0.9630135297775269,0.9144258499145508,0.9790162444114685,0.9797398447990417,0.058099497109651566,0.9798870086669922,0.9783393740653992
19,0.9394554495811462,0.9411109089851379,0.268987238407135,1.6e-05,0.9635023474693298,0.921190619468689,0.9824007153511047,0.9835003614425659,0.049294088035821915,0.9839403033256531,0.9814981818199158
20,0.9420486092567444,0.9439223408699036,0.2534148097038269,1.6e-05,0.9637305736541748,0.9227126836776733,0.9824007153511047,0.9834474325180054,0.04864726588129997,0.9837214350700378,0.9817238450050354
21,0.9442471265792847,0.9460983872413635,0.24327875673770905,1.6e-05,0.967296838760376,0.9287445545196533,0.9844313859939575,0.9851922392845154,0.04903256893157959,0.986651599407196,0.983980119228363
22,0.9481368660926819,0.9497814774513245,0.22915826737880707,1.6e-05,0.9681025147438049,0.9324651956558228,0.9846570491790771,0.9854736328125,0.04366496577858925,0.985982358455658,0.983980119228363
23,0.94655841588974,0.9484595656394958,0.23683762550354004,1.6e-05,0.9661017060279846,0.9318450689315796,0.9875902533531189,0.9881904721260071,0.040245380252599716,0.988466739654541,0.9862364530563354
24,0.9488697052001953,0.9505362510681152,0.21921026706695557,1.6e-05,0.967630922794342,0.9352838397026062,0.9842057824134827,0.985008716583252,0.04076246917247772,0.9868777990341187,0.9842057824134827
25,0.9510118961334229,0.9526891112327576,0.22013700008392334,1.6e-05,0.9691516757011414,0.9351147413253784,0.9862364530563354,0.9869294166564941,0.03932012990117073,0.9868956208229065,0.9855595827102661
26,0.9532667994499207,0.9543271660804749,0.2090645581483841,1.6e-05,0.9713138341903687,0.9410338997840881,0.9846570491790771,0.9854644536972046,0.04493873938918114,0.9868807792663574,0.9844313859939575
27,0.949433445930481,0.9508309960365295,0.22072231769561768,1.6e-05,0.9690348505973816,0.9350019693374634,0.9826263785362244,0.9835718274116516,0.04862450808286667,0.9850543737411499,0.9814981818199158
28,0.9524775743484497,0.9543972611427307,0.2102004736661911,6.4e-06,0.9693069458007812,0.9382152557373047,0.984882652759552,0.9853571057319641,0.04481443390250206,0.986651599407196,0.983980119228363
29,0.9608771800994873,0.9618138074874878,0.17754802107810974,6.4e-06,0.9763244986534119,0.9484751224517822,0.9844313859939575,0.9851289391517639,0.043448664247989655,0.9864222407341003,0.9835288524627686
30,0.961722731590271,0.9631175994873047,0.1752459853887558,2.56e-06,0.9769341945648193,0.9502790570259094,0.984882652759552,0.9855868816375732,0.04167342931032181,0.9873274564743042,0.9844313859939575
31,0.9621737599372864,0.9633352160453796,0.16726619005203247,2.56e-06,0.9775652289390564,0.9506173133850098,0.987364649772644,0.9878246784210205,0.040100447833538055,0.9891427159309387,0.9866877198219299
32,0.9608207941055298,0.9622202515602112,0.17490462958812714,1.024e-06,0.9736872315406799,0.9491515755653381,0.9860108494758606,0.9867076277732849,0.03954195976257324,0.9884641766548157,0.9860108494758606
33,0.9623428583145142,0.9633399844169617,0.166484534740448,1.024e-06,0.97731614112854,0.9520829916000366,0.9860108494758606,0.9866603016853333,0.03857305645942688,0.9880090355873108,0.9853339195251465
