epoch,categorical_accuracy,loss,lr,precision,recall,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.06644991040229797,5.633723258972168,1e-04,0.7256637215614319,0.005554426461458206,0.26501622796058655,2.968916416168213,0.86328125,0.029897186905145645
1,0.2651900053024292,3.8729491233825684,1e-04,0.8117194771766663,0.057237688452005386,0.5340909361839294,1.7004268169403076,0.8436411023139954,0.26204004883766174
2,0.42992615699768066,2.799245834350586,1e-04,0.8189448714256287,0.18505723774433136,0.7178030014038086,0.9830998778343201,0.9009506702423096,0.5512716174125671
3,0.539524495601654,2.233672857284546,1e-04,0.8349081873893738,0.31721195578575134,0.7861201167106628,0.7032985687255859,0.9051862359046936,0.6870941519737244
4,0.6056357026100159,1.8725451231002808,1e-04,0.84226393699646,0.4163110554218292,0.8083062767982483,0.6007651090621948,0.8889614343643188,0.7364718317985535
5,0.6621282696723938,1.5779839754104614,1e-04,0.8638154864311218,0.5048431754112244,0.8678300976753235,0.4131975769996643,0.9307500720024109,0.8091179728507996
6,0.6973515152931213,1.3867690563201904,1e-04,0.8688644766807556,0.5623518228530884,0.8745941519737244,0.3770400583744049,0.9242355823516846,0.8300865888595581
7,0.7252590656280518,1.2587552070617676,1e-04,0.8739801645278931,0.6022488474845886,0.891910195350647,0.3391568660736084,0.9361512064933777,0.8509199023246765
8,0.7476800084114075,1.1551471948623657,1e-04,0.8867889046669006,0.6420104503631592,0.904356062412262,0.27807000279426575,0.9340548515319824,0.8756763935089111
9,0.775994062423706,1.0263917446136475,1e-04,0.8904134035110474,0.6725597977638245,0.8978625535964966,0.2872641682624817,0.9304372668266296,0.8721590638160706
10,0.7866964936256409,0.9622208476066589,1e-04,0.8958856463432312,0.7006028294563293,0.913690447807312,0.26428884267807007,0.9406366348266602,0.887445867061615
11,0.8013953566551208,0.8974655270576477,1e-04,0.9022505283355713,0.7196369171142578,0.9203192591667175,0.22996026277542114,0.9405618906021118,0.901244580745697
12,0.8089818954467773,0.8421555161476135,1e-04,0.902264416217804,0.7341326475143433,0.9272186160087585,0.20283785462379456,0.9491406083106995,0.9113907217979431
13,0.8197520971298218,0.7902898192405701,1e-04,0.9083707928657532,0.7534376382827759,0.9322240352630615,0.19137507677078247,0.9498669505119324,0.9176136255264282
14,0.8330962657928467,0.736958384513855,1e-04,0.9120993614196777,0.7710492610931396,0.9246482849121094,0.21601755917072296,0.9414231777191162,0.9109848737716675
15,0.843934178352356,0.6950241923332214,1e-04,0.9189210534095764,0.7845966219902039,0.9465638399124146,0.15028871595859528,0.9596685171127319,0.9399350881576538
16,0.8464404344558716,0.6676700115203857,1e-04,0.9152767062187195,0.7954345345497131,0.9361472129821777,0.1790359616279602,0.9491549134254456,0.9268127679824829
17,0.8559913039207458,0.6375991106033325,1e-04,0.9223392009735107,0.8012599349021912,0.9391233921051025,0.16752834618091583,0.9515882730484009,0.9280303120613098
18,0.874009370803833,0.552707314491272,4e-05,0.9344838261604309,0.8289642930030823,0.9564393758773804,0.12010055780410767,0.9655030369758606,0.9503517150878906
19,0.8826797008514404,0.5266646146774292,4e-05,0.9374052882194519,0.8379055857658386,0.9592803120613098,0.11016176640987396,0.9667260050773621,0.9550865888595581
20,0.8855246305465698,0.5040600299835205,4e-05,0.9355830550193787,0.8450856804847717,0.9617153406143188,0.1085425540804863,0.969131588935852,0.9556276798248291
21,0.8907403349876404,0.48591622710227966,4e-05,0.9402047991752625,0.8520625829696655,0.9623917937278748,0.10104364901781082,0.9689126014709473,0.9571158289909363
22,0.8956851363182068,0.45811787247657776,4e-05,0.9409750699996948,0.8563300371170044,0.9638798832893372,0.09669976681470871,0.9709270596504211,0.9577922224998474
23,0.8903339505195618,0.4755544364452362,4e-05,0.9402173757553101,0.8554494380950928,0.966856062412262,0.09064950793981552,0.9731764197349548,0.9619859457015991
24,0.8987333178520203,0.4505583941936493,4e-05,0.9421297907829285,0.862358570098877,0.9661796689033508,0.09393744170665741,0.9721349477767944,0.9627976417541504
25,0.899884819984436,0.43681812286376953,4e-05,0.943809449672699,0.8669646978378296,0.9684794545173645,0.08813260495662689,0.9743134379386902,0.9646915793418884
26,0.9034749269485474,0.42442768812179565,4e-05,0.945193350315094,0.8691322803497314,0.9705086350440979,0.08082997798919678,0.9755831360816956,0.9675324559211731
27,0.9068617224693298,0.4116262197494507,4e-05,0.9463382363319397,0.8744157552719116,0.9705086350440979,0.0829755961894989,0.9750307202339172,0.9667207598686218
28,0.908419668674469,0.3967432975769043,4e-05,0.9450156688690186,0.8778026103973389,0.9724025726318359,0.08114027976989746,0.9769377708435059,0.9684794545173645
29,0.9109936952590942,0.3869217038154602,1.6e-05,0.9475674629211426,0.8826119303703308,0.9740259647369385,0.07476018369197845,0.9792519807815552,0.9705086350440979
30,0.9170899987220764,0.36749905347824097,1.6e-05,0.9509122371673584,0.8896566033363342,0.9729437232017517,0.07299329340457916,0.9780204892158508,0.9691558480262756
31,0.917970597743988,0.3737618029117584,1.6e-05,0.9532703757286072,0.8885050415992737,0.9747023582458496,0.07081878185272217,0.9800736904144287,0.9714556336402893
32,0.9195285439491272,0.35884416103363037,1.6e-05,0.9555619955062866,0.8914177417755127,0.9747023582458496,0.07182928174734116,0.9787378907203674,0.9714556336402893
33,0.9199349880218506,0.3552308678627014,1.6e-05,0.9520819783210754,0.8936530351638794,0.9745671153068542,0.07149084657430649,0.9791353940963745,0.9713203310966492
34,0.921967089176178,0.34819141030311584,6.4e-06,0.954286515712738,0.8964980244636536,0.9745671153068542,0.0718429684638977,0.9788799285888672,0.9718614816665649
35,0.922508955001831,0.33815521001815796,6.4e-06,0.9556198120117188,0.8955497145652771,0.9755140542984009,0.06774795800447464,0.9795723557472229,0.9730790257453918
36,0.9231863617897034,0.33826589584350586,6.4e-06,0.9560961723327637,0.8998171091079712,0.9752435088157654,0.06781668961048126,0.9794194102287292,0.9721320271492004
37,0.9233895540237427,0.33334267139434814,6.4e-06,0.9559204578399658,0.8990042805671692,0.9759199023246765,0.06620071828365326,0.9806565642356873,0.9738907217979431
38,0.9245410561561584,0.3422096371650696,6.4e-06,0.9555667638778687,0.8988010287284851,0.9768669009208679,0.06607972085475922,0.9813147783279419,0.9733495712280273
39,0.9253539443016052,0.3264462351799011,6.4e-06,0.9566968679428101,0.9009009003639221,0.9768669009208679,0.06457992643117905,0.9809264540672302,0.9740259647369385
