epoch,categorical_accuracy,f1_score,loss,lr,precision,recall,val_categorical_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.09507439285516739,0.0828547552227974,5.345193386077881,1e-04,0.8041958212852478,0.0064810640178620815,0.34453970193862915,0.30959126353263855,2.507279872894287,0.823798656463623,0.08122743666172028
1,0.29883307218551636,0.29087790846824646,3.6444997787475586,1e-04,0.8056728839874268,0.07525790482759476,0.5866124033927917,0.5759634971618652,1.43295419216156,0.8486841917037964,0.37924015522003174
2,0.43689045310020447,0.43682873249053955,2.784806728363037,1e-04,0.8131536245346069,0.19724899530410767,0.6834011673927307,0.6780654788017273,1.0011982917785645,0.829109787940979,0.5771144032478333
3,0.5186312794685364,0.5205143094062805,2.337048292160034,1e-04,0.8301336169242859,0.30469587445259094,0.7994120121002197,0.8021690249443054,0.6623334288597107,0.8939135670661926,0.7107643485069275
4,0.5790630578994751,0.5816219449043274,1.9965301752090454,1e-04,0.8392032980918884,0.38953718543052673,0.8353686332702637,0.8376848101615906,0.5187499523162842,0.897001326084137,0.7779285311698914
5,0.6162128448486328,0.6207230687141418,1.7830156087875366,1e-04,0.8486223816871643,0.45318225026130676,0.8514246940612793,0.8522579669952393,0.4530549943447113,0.905804455280304,0.8046132922172546
6,0.6588872075080872,0.6631832718849182,1.603144884109497,1e-04,0.8547741770744324,0.5056654810905457,0.8828584551811218,0.8843421936035156,0.3497326672077179,0.9223924875259399,0.8439620137214661
7,0.6861153244972229,0.6908294558525085,1.462165355682373,1e-04,0.8706919550895691,0.5511584877967834,0.9063771963119507,0.9080353379249573,0.28901800513267517,0.9299210906028748,0.8792401552200317
8,0.7133998274803162,0.7183794379234314,1.3339654207229614,1e-04,0.8728110790252686,0.5872371792793274,0.9163274765014648,0.9155688285827637,0.26239684224128723,0.9403233528137207,0.894391655921936
9,0.7307063341140747,0.7354496121406555,1.2178804874420166,1e-04,0.8813273310661316,0.6183550357818604,0.9066033363342285,0.9069843292236328,0.262858122587204,0.9320826530456543,0.8876073956489563
10,0.7451941967010498,0.749329149723053,1.1499371528625488,1e-04,0.8823075294494629,0.6440610885620117,0.9113523364067078,0.9121884107589722,0.2625604569911957,0.932692289352417,0.8993667960166931
11,0.7772140502929688,0.7815014719963074,1.0149164199829102,4e-05,0.8988872170448303,0.6830711960792542,0.9414291977882385,0.9405447244644165,0.16316214203834534,0.9559267163276672,0.9319312572479248
12,0.7994250059127808,0.8039073944091797,0.9094971418380737,4e-05,0.9055619239807129,0.7140763401985168,0.9488918781280518,0.949677050113678,0.14917491376399994,0.961778998374939,0.9389416575431824
13,0.8019617795944214,0.8058204054832458,0.8790291547775269,4e-05,0.9025933146476746,0.723997950553894,0.9500226378440857,0.9483404755592346,0.14091771841049194,0.9595495462417603,0.9441429376602173
14,0.8050622940063477,0.8094267249107361,0.8649853467941284,4e-05,0.9062434434890747,0.7323411703109741,0.953640878200531,0.9535300731658936,0.13713333010673523,0.9631506204605103,0.9457259178161621
15,0.8159986734390259,0.8198348879814148,0.8383975625038147,4e-05,0.9141270518302917,0.7423191666603088,0.953640878200531,0.9538151025772095,0.13867515325546265,0.963304877281189,0.9439167976379395
16,0.8183099627494812,0.8218669295310974,0.8254555463790894,4e-05,0.9118214249610901,0.7461525201797485,0.9531885981559753,0.9516776204109192,0.12139104306697845,0.9621559381484985,0.9486657381057739
