epoch,accuracy,auc,false_negatives,false_positives,loss,lr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
22,0.8853257894515991,0.9969456791877747,2584.0,924.0,0.4974660873413086,4e-05,0.9382393956184387,0.8445340394973755,1644555.0,14037.0,0.9747292399406433,0.9996104836463928,155.0,120.0,0.07348804920911789,0.9782016277313232,0.9720216393470764,548340.0,5385.0
23,0.887010395526886,0.9963099360466003,2602.0,902.0,0.5065450072288513,4e-05,0.9395483136177063,0.8434510827064514,1644577.0,14019.0,0.9756317734718323,0.9996146559715271,149.0,112.0,0.06738856434822083,0.9796474575996399,0.97310471534729,548348.0,5391.0
24,0.8871908783912659,0.9968428015708923,2514.0,945.0,0.48606643080711365,4e-05,0.937217652797699,0.848745584487915,1644534.0,14107.0,0.9725631475448608,0.9994279742240906,162.0,141.0,0.07566424459218979,0.9744518995285034,0.9707581400871277,548319.0,5378.0
25,0.8907406330108643,0.9969282150268555,2462.0,927.0,0.47344592213630676,4e-05,0.9385523200035095,0.8518741130828857,1644552.0,14159.0,0.9709386229515076,0.9990624189376831,178.0,131.0,0.08651523292064667,0.9761514663696289,0.9678700566291809,548329.0,5362.0
26,0.8986222147941589,0.9970549941062927,2265.0,823.0,0.44669970870018005,1.6e-05,0.945780336856842,0.8637266159057617,1644656.0,14356.0,0.9772562980651855,0.9997082352638245,141.0,103.0,0.06166159734129906,0.9812795519828796,0.9745487570762634,548357.0,5399.0
27,0.9047590494155884,0.9971231818199158,2143.0,801.0,0.43540945649147034,1.6e-05,0.9475750923156738,0.8710667490959167,1644678.0,14478.0,0.9768953323364258,0.9996160864830017,141.0,111.0,0.06683038920164108,0.9798548221588135,0.9745487570762634,548349.0,5399.0
28,0.9020516276359558,0.9973862171173096,2163.0,834.0,0.42146390676498413,1.6e-05,0.9454616904258728,0.8698634505271912,1644645.0,14458.0,0.9741877317428589,0.999435544013977,155.0,127.0,0.06791363656520844,0.9769593477249146,0.9720216393470764,548333.0,5385.0
29,0.9078876376152039,0.9974182844161987,2096.0,806.0,0.4066266119480133,6.4e-06,0.9474267959594727,0.873894453048706,1644673.0,14525.0,0.9779783487319946,0.9998008608818054,130.0,102.0,0.05998271703720093,0.9814949035644531,0.9765343070030212,548358.0,5410.0
30,0.9090307354927063,0.9969779253005981,2072.0,776.0,0.4053892493247986,6.4e-06,0.9493637681007385,0.8753384351730347,1644703.0,14549.0,0.97779780626297,0.9993472099304199,133.0,109.0,0.0636933445930481,0.9802393317222595,0.9759927988052368,548351.0,5407.0
31,0.9088502526283264,0.997310996055603,2040.0,765.0,0.40287041664123535,6.4e-06,0.9501498937606812,0.8772637248039246,1644714.0,14581.0,0.9810469150543213,0.9995306730270386,114.0,89.0,0.06003228947520256,0.9838622212409973,0.979422390460968,548371.0,5426.0
32,0.9114373326301575,0.9979156255722046,1982.0,780.0,0.38836655020713806,2.56e-06,0.9494130611419678,0.8807532787322998,1644699.0,14639.0,0.9770758152008057,0.9995291233062744,135.0,105.0,0.06199146807193756,0.9809437394142151,0.9756317734718323,548355.0,5405.0
33,0.9096925854682922,0.9978389143943787,2005.0,748.0,0.3952144384384155,2.56e-06,0.9513147473335266,0.8793694972991943,1644731.0,14616.0,0.9790613651275635,0.999437689781189,133.0,96.0,0.06277129799127579,0.9825549721717834,0.9759927988052368,548364.0,5407.0
34,0.9152879118919373,0.9980097413063049,1919.0,740.0,0.3733218014240265,1.024e-06,0.9520787596702576,0.8845436573028564,1644739.0,14702.0,0.9783393740653992,0.9995282292366028,129.0,106.0,0.06377239525318146,0.9807866811752319,0.9767147898674011,548354.0,5411.0
35,0.9159497022628784,0.9974942803382874,1936.0,714.0,0.37888607382774353,1.024e-06,0.9536333680152893,0.8835208415985107,1644765.0,14685.0,0.980324923992157,0.9993508458137512,116.0,88.0,0.058311592787504196,0.9840348362922668,0.9790613651275635,548372.0,5424.0
36,0.9143252372741699,0.9981289505958557,1901.0,746.0,0.3676157295703888,1.024e-06,0.9517651796340942,0.8856266140937805,1644733.0,14720.0,0.9783393740653992,0.9997097253799438,134.0,99.0,0.06111502647399902,0.9820163249969482,0.9758122563362122,548361.0,5406.0
37,0.9124601483345032,0.997502326965332,1983.0,788.0,0.38847798109054565,1.024e-06,0.9489173889160156,0.8806930780410767,1644691.0,14638.0,0.980324923992157,0.9995326399803162,121.0,92.0,0.057964615523815155,0.9833061099052429,0.9781588315963745,548368.0,5419.0
38,0.9146260619163513,0.9978219866752625,1953.0,739.0,0.3759218156337738,1.024e-06,0.9520347714424133,0.882498025894165,1644740.0,14668.0,0.980324923992157,0.9995303750038147,115.0,95.0,0.05712824687361717,0.9827898740768433,0.9792418479919434,548365.0,5425.0
