epoch,accuracy,auc,false_negatives,false_positives,loss,lr,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.09979547560214996,0.7763689756393433,16471.0,36.0,5.256509780883789,1e-04,0.8095238208770752,0.009203561581671238,1645740.0,153.0,0.3478025794029236,0.9512015581130981,5111.0,97.0,2.4977474212646484,0.8197026252746582,0.07943083345890045,549551.0,441.0
1,0.31297755241394043,0.9328120946884155,15304.0,343.0,3.532655954360962,1e-04,0.7933734655380249,0.07923711091279984,1645136.0,1317.0,0.5815884470939636,0.9824328422546387,3479.0,471.0,1.4508224725723267,0.8139810562133789,0.3720216751098633,547989.0,2061.0
2,0.4594789743423462,0.9611293077468872,13001.0,786.0,2.657890796661377,1e-04,0.8216068744659424,0.21779675781726837,1644693.0,3620.0,0.7427797913551331,0.9935991168022156,2050.0,517.0,0.8220680952072144,0.8709757924079895,0.6299638748168945,547943.0,3490.0
3,0.5462366938591003,0.9721164703369141,11028.0,1081.0,2.1725683212280273,1e-04,0.8380281925201416,0.3365020155906677,1644398.0,5593.0,0.8287003636360168,0.9972231984138489,1355.0,421.0,0.5490503311157227,0.908597469329834,0.755415141582489,548039.0,4185.0
4,0.6108537316322327,0.9787232279777527,9563.0,1277.0,1.8465250730514526,1e-04,0.8467906713485718,0.42464351654052734,1644202.0,7058.0,0.8389891982078552,0.995925784111023,1151.0,481.0,0.4859691560268402,0.9012320041656494,0.7922382950782776,547979.0,4389.0
5,0.650081217288971,0.9829973578453064,8488.0,1319.0,1.6231610774993896,1e-04,0.8604528307914734,0.4893207252025604,1644160.0,8133.0,0.8622743487358093,0.9974334239959717,961.0,437.0,0.4022683799266815,0.9128788113594055,0.8265342712402344,548023.0,4579.0
6,0.6897900104522705,0.9858469367027283,7464.0,1391.0,1.4242815971374512,1e-04,0.868126630783081,0.5509295463562012,1644088.0,9157.0,0.8779783248901367,0.9976093769073486,878.0,403.0,0.3532378077507019,0.9204343557357788,0.8415162563323975,548057.0,4662.0
7,0.7164430618286133,0.9880257248878479,6742.0,1443.0,1.2929607629776,1e-04,0.8725489974021912,0.594368577003479,1644036.0,9879.0,0.9050541520118713,0.997934877872467,635.0,349.0,0.277157187461853,0.9335744380950928,0.8853790760040283,548111.0,4905.0
8,0.7351543307304382,0.9884373545646667,6298.0,1405.0,1.2070326805114746,1e-04,0.8802012205123901,0.6210817694664001,1644074.0,10323.0,0.9128158688545227,0.9987051486968994,599.0,342.0,0.24899964034557343,0.9352640509605408,0.8918772339820862,548118.0,4941.0
9,0.7652367353439331,0.9893457293510437,5635.0,1322.0,1.0932763814926147,1e-04,0.8925901651382446,0.6609710454940796,1644157.0,10986.0,0.9173285365104675,0.9984772801399231,550.0,345.0,0.2357262820005417,0.935332715511322,0.9007220268249512,548115.0,4990.0
