epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.06591694056987762,5.6255292892456055,1e-04,0.19693268835544586,3.1570162773132324
1,0.268398255109787,3.861132860183716,1e-04,0.5122149586677551,1.7543730735778809
2,0.4383171796798706,2.775224208831787,1e-04,0.7217698097229004,0.9892547726631165
3,0.54630446434021,2.1890265941619873,1e-04,0.7966883778572083,0.6798394322395325
4,0.6175056099891663,1.7897931337356567,1e-04,0.8121606707572937,0.6037355065345764
5,0.6590339541435242,1.584962010383606,1e-04,0.8539630770683289,0.45794862508773804
6,0.6943973898887634,1.386544942855835,1e-04,0.8568132519721985,0.4468919336795807
7,0.7211570739746094,1.2527124881744385,1e-04,0.899429976940155,0.30917221307754517
8,0.7463586330413818,1.1358944177627563,1e-04,0.9108306169509888,0.2777765989303589
9,0.7649210691452026,1.0488921403884888,1e-04,0.9204668998718262,0.24063988029956818
