epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.09483122080564499,5.3297119140625,1e-04,0.33327317237854004,2.5918056964874268
1,0.3156881630420685,3.5203888416290283,1e-04,0.6241428852081299,1.2813222408294678
2,0.458391010761261,2.641925811767578,1e-04,0.7067845463752747,0.9508427381515503
3,0.5511763691902161,2.1612956523895264,1e-04,0.821003258228302,0.575846791267395
4,0.6031048893928528,1.8535476922988892,1e-04,0.8477084040641785,0.469929039478302
5,0.6547325253486633,1.6188431978225708,1e-04,0.8819920420646667,0.3477867841720581
6,0.6882483959197998,1.4303241968154907,1e-04,0.8780223727226257,0.3429453670978546
7,0.718815803527832,1.2977322340011597,1e-04,0.8910140991210938,0.32802510261535645
8,0.7418015599250793,1.176186442375183,1e-04,0.9271021485328674,0.22484329342842102
9,0.7503460049629211,1.1188745498657227,1e-04,0.925297737121582,0.21420876681804657
10,0.7661712765693665,1.0341291427612305,1e-04,0.9283652305603027,0.2004781812429428
11,0.7890968322753906,0.9566675424575806,1e-04,0.9307109117507935,0.2121695876121521
12,0.8041999936103821,0.8874184489250183,1e-04,0.9363045692443848,0.17347295582294464
13,0.8105782270431519,0.8503427505493164,1e-04,0.949657142162323,0.13463900983333588
14,0.8192430138587952,0.8079290390014648,1e-04,0.950018048286438,0.14809802174568176
15,0.8295926451683044,0.7722122073173523,1e-04,0.9411764740943909,0.17146098613739014
16,0.8565497398376465,0.6538801789283752,4e-05,0.9631901979446411,0.1035180389881134
17,0.8676815629005432,0.5838959813117981,4e-05,0.9662576913833618,0.09323281049728394
18,0.8712918758392334,0.5806538462638855,4e-05,0.9684229493141174,0.09192480891942978
19,0.874541163444519,0.5598737001419067,4e-05,0.9664381146430969,0.09339678287506104
20,0.8807389140129089,0.5250988602638245,4e-05,0.9687838554382324,0.08851189911365509
